NumberOfVehicles,CrashDate,CrashTime,DayOfWeek,TypeOfCollision,LocationOfFirstHarmfulEvent,RoadwaySurfaceType,RoadwayDefect,LightCondition_Category,LightCondition_Value,RoadwayDescription,WorkZoneLocation,WeatherCondition,RoadwayAlignment,WorkZoneWorkersPresent,SchoolZone,IntersectionType,WorkZoneType,TrafficControlType,RoadwaySurfaceCondition,RelationToRoadway_Category,RelationToRoadway_Value,TrafficControlMechanicalDevice,WorkZoneRelated,Year,Meteorological Season,MonthName,DaytimeNighttime_NHTSA,ThreeHourLabel,Hour,CrashType,AlcoholInvolved,SpeedRelated,CommercialMotorVehiclesInvolved,PedestrianInvolved,BicycleInvolved,MotorcycleInvolved,MopedInvolved,TrainRelated,SchoolZoneInvolved,TeenDriverInvolved,DistractedDriverInvolved,DriverTextingInvolved,DriverUsingCellPhone,Single_Multi_Vehicle,Jurisdiction,TownName,LocationTypeName,Latitude,Longitude,Interstate_NonInterstate,RoadName,RouteNumber,RouteName,MileMarker,FunctionalClassCode,AtIntersection,SecondaryLocation,MatureDriverInvolved,MatureDriverFatalities,MatureDriverInjuries,LargeTruckInvolved,PedestrianFatalities,PedestrianInjuries,MotorcycleFatalities,MotorcycleInjuries,BicycleFatalities,BicycleInjuries,DistractedDriverFatalities,DistractedDriverInjuries,UnrestrainedInjuries,Number_Of_Fatalities,Number_Of_Injuries,Crash_UID,Is_Fatal,Is_Severe,Is_Minor,SeverityLabel
2,2022-12-03,16:13:00,Saturday,Rear End,On Roadway,Concrete,No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,Rain,Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Wet,Interchange Area,On Entrance/Exit Ramp,Yes - Working,No,2022,Winter,December,Daytime,3:00pm - 5:59pm,16,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Multiple Vehicle Crashes,Newport News City,,Urban,37.17297,-76.55128,Interstate,I-64E,64.0,I-64,250.67,Interstate,Not at Intersection,,Yes,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c9176480,0,0,1,Minor
2,2023-05-16,16:09:00,Tuesday,Sideswipe - Same Direction,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"One-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,Yes - With School Activity,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Interchange Area,Main-Line Roadway,Yes - Working,No,2023,Spring,May,Daytime,3:00pm - 5:59pm,16,Property Damage Crash,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Multiple Vehicle Crashes,Petersburg City,,Rural,37.18833,-77.39967,Non-Interstate,HOMESTEAD DR (NP - CITY OF PETERSBURG),,ROLLINGWOOD RD,1.08,Local,Not at Intersection,,Yes,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c7044655,0,0,1,Minor
2,2022-11-02,07:15:00,Wednesday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Positive Median Barrier",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Four Approaches,Not Provided,Traffic Signal,Dry,Interchange Area,Main-Line Roadway,Yes - Working,No,2022,Autumn,November,Daytime,6:00am - 8:59am,7,Property Damage Crash,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Norfolk City,,Urban,36.85823,-76.2784,Non-Interstate,UR-8575S (CITY OF NORFOLK),,CHURCH ST,1.08,Minor Arterial,At Intersection,PRINCESS ANNE RD,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c0180174,0,0,1,Minor
2,2022-07-27,14:46:00,Wednesday,Head On,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Four Approaches,Not Provided,Traffic Signal,Dry,Intersection Area,Within Intersection,Yes - Working,No,2022,Summer,July,Daytime,Noon - 2:59pm,14,Injury Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Alexandria City,,Urban,38.83999,-77.10583,Non-Interstate,VA-7W,7.0,KING ST,68.61,Other Principal Arterial,At Intersection,28TH ST,No,0,0,No,0,0,0,0,0,0,0,0,0,0,1,c5613335,0,0,1,Minor
2,2023-01-05,20:00:00,Thursday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Not Lighted,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,No Traffic Control,Dry,Intersection Area,Non-Intersection,No Traffic Control Device Present,No,2023,Winter,January,Nighttime,6:00pm - 8:59pm,20,Property Damage Crash,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Multiple Vehicle Crashes,Chesterfield County,,Urban,37.46186,-77.67061,Non-Interstate,SC-652S (CHESTERFIELD COUNTY),652.0,OLD HUNDRED RD,0.58,Minor Arterial,Not at Intersection,,Yes,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c0425959,0,0,1,Minor
2,2022-09-22,07:05:00,Thursday,Rear End,On Roadway,Concrete,No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,Yes,Four Approaches,Not Provided,Traffic Signal,Dry,Intersection Area,Intersection Related - Within 150 Feet,Yes - Working,No,2022,Autumn,September,Daytime,6:00am - 8:59am,7,Property Damage Crash,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Multiple Vehicle Crashes,Fairfax City,,Urban,38.84115,-77.27234,Non-Interstate,VA-236E,236.0,MAIN ST,2.94,Other Principal Arterial,At Intersection,PICKETT RD,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c7069152,0,0,1,Minor
1,2024-08-08,04:03:00,Thursday,Fixed Object - Off Road,Shoulder,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Lighted,"Two-Way, Divided, Positive Median Barrier",Not Provided,Rain,Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Wet,Interchange Area,On Entrance/Exit Ramp,Yes - Working,No,2024,Summer,August,Nighttime,3:00am - 5:59am,4,Property Damage Crash,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Single Vehicle Crashes,Fairfax County,,Urban,38.83913,-77.44554,Interstate,I-66W,66.0,I-66,52.65,Interstate,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c1855212,0,0,1,Minor
2,2023-10-02,13:27:00,Monday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Three Approaches,Not Provided,Traffic Signal,Dry,Intersection Area,Intersection Related - Within 150 Feet,Yes - Working,No,2023,Autumn,October,Daytime,Noon - 2:59pm,13,Injury Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Suffolk City,,Urban,36.77182,-76.54584,Non-Interstate,UR-642S (CITY OF SUFFOLK),642.0,WILROY RD,16.19,Minor Arterial,At Intersection,PROGRESS RD,No,0,0,No,0,0,0,0,0,0,0,0,0,0,1,c7631885,0,0,1,Minor
2,2023-11-16,16:19:00,Thursday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Positive Median Barrier",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Non-Intersection,Yes - Working,No,2023,Autumn,November,Daytime,3:00pm - 5:59pm,16,Property Damage Crash,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Multiple Vehicle Crashes,Norfolk City,,Urban,36.84434,-76.2784,Interstate,I-264E,264.0,I-264,8.13,Interstate,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c4014851,0,0,1,Minor
3,2024-06-09,15:11:00,Sunday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Four Approaches,Not Provided,Traffic Signal,Dry,Intersection Area,Within Intersection,Yes - Working,No,2024,Summer,June,Daytime,3:00pm - 5:59pm,15,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Fairfax County,,Urban,38.78229,-77.32786,Non-Interstate,VA-123S,123.0,OX RD,10.18,Other Principal Arterial,At Intersection,CHAPEL RD,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c8975874,0,0,1,Minor
2,2024-08-18,16:21:00,Sunday,Sideswipe - Same Direction,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Positive Median Barrier",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Four Approaches,Not Provided,Traffic Signal,Dry,Intersection Area,Intersection Related - Within 150 Feet,Yes - Working,No,2024,Summer,August,Daytime,3:00pm - 5:59pm,16,Property Damage Crash,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Multiple Vehicle Crashes,Isle of Wight County,Smithfield,Urban,36.9545,-76.60088,Non-Interstate,US-258W,258.0,BENNS CHURCH BLVD,47.62,Minor Arterial,At Intersection,CYPRESS RUN DR,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c2636026,0,0,1,Minor
2,2024-11-02,17:16:00,Saturday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,No Traffic Control,Dry,Interchange Area,Main-Line Roadway,No Traffic Control Device Present,No,2024,Autumn,November,Daytime,3:00pm - 5:59pm,17,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Fairfax City,,Urban,38.85318,-77.32138,Non-Interstate,US-29S,29.0,FAIRFAX BLVD,234.61,Other Principal Arterial,Not at Intersection,,Yes,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c9012010,0,0,1,Minor
2,2023-01-20,17:00:00,Friday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Positive Median Barrier",Not Provided,No Adverse Condition (Clear/Cloud),Curve - Level,Not Provided,No,Not at Intersection,Not Provided,Highway Safety Corridor,Dry,Intersection Area,Non-Intersection,Yes - Working,No,2023,Winter,January,Daytime,3:00pm - 5:59pm,17,Property Damage Crash,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Richmond City,,Urban,37.55086,-77.43787,Interstate,I-95N,95.0,I-95,76.0,Interstate,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c2523306,0,0,1,Minor
1,2023-01-24,15:00:00,Tuesday,Fixed Object - Off Road,Roadside,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Non-Intersection,Yes - Working,No,2023,Winter,January,Daytime,3:00pm - 5:59pm,15,Injury Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Single Vehicle Crashes,Loudoun County,,Urban,38.98199,-77.51498,Non-Interstate,SC-607N (LOUDOUN COUNTY),607.0,LOUDOUN COUNTY PKWY,0.98,Minor Collector,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,1,c2965100,0,0,1,Minor
2,2022-10-16,22:30:00,Sunday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Not Lighted,"Two-Way, Divided, Positive Median Barrier",Not Provided,Rain,Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Wet,Intersection Area,Non-Intersection,Yes - Working,No,2022,Autumn,October,Nighttime,9:00pm - 11:59pm,22,Property Damage Crash,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,York County,,Urban,37.26753,-76.65347,Interstate,I-64E,64.0,I-64,241.82,Interstate,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c4094709,0,0,1,Minor
1,2023-03-10,19:04:00,Friday,Fixed Object - Off Road,"Off Roadway, Location Unknown","Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Not Lighted,"Two-Way, Not Divided",Not Provided,Rain,Curve - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Wet,Intersection Area,Non-Intersection,Yes - Working,No,2023,Spring,March,Nighttime,6:00pm - 8:59pm,19,Injury Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Single Vehicle Crashes,Fauquier County,,Rural,38.54798,-77.61622,Non-Interstate,SC-616S (FAUQUIER COUNTY),616.0,BRISTERSBURG RD,4.03,Major Collector,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,1,c1621095,0,0,1,Minor
2,2023-11-01,14:32:00,Wednesday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Grade - Straight,Not Provided,No,Four Approaches,Not Provided,Stop Sign,Dry,Intersection Area,Within Intersection,Yes - Working,No,2023,Autumn,November,Daytime,Noon - 2:59pm,14,Fatal Crash,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Roanoke City,,Urban,37.26693,-79.94847,Non-Interstate,ELM AVE SW (PR - CITY OF ROANOKE),221.0,ELM AVE,0.43,Minor Arterial,At Intersection,4TH ST,No,0,0,No,0,0,1,0,0,0,0,0,0,1,1,c0862407,1,1,0,Fatal
2,2024-02-07,09:19:00,Wednesday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Grade - Straight,Not Provided,No,Three Approaches,Not Provided,Stop Sign,Dry,Intersection Area,Intersection Related - Within 150 Feet,Yes - Working,No,2024,Winter,February,Daytime,9:00am - 11:59am,9,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Stafford County,,Urban,38.35464,-77.43698,Non-Interstate,SC-1648N (STAFFORD COUNTY),1648.0,PLUMOSA DR,0.36,Local,At Intersection,MYRTLE RD,Yes,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c7035578,0,0,1,Minor
1,2022-06-22,19:25:00,Wednesday,Fixed Object - Off Road,Roadside,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,Rain,Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Wet,Intersection Area,Non-Intersection,Yes - Working,No,2022,Summer,June,Nighttime,6:00pm - 8:59pm,19,Injury Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Single Vehicle Crashes,Northampton County,,Rural,37.22883,-75.97059,Non-Interstate,US-13N,13.0,LANKFORD HWY,81.21,Other Principal Arterial,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,2,0,5,c2989562,0,1,0,Severe
2,2024-12-23,15:05:00,Monday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Positive Median Barrier",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Interchange Area,Main-Line Roadway,Yes - Working,No,2024,Winter,December,Daytime,3:00pm - 5:59pm,15,Property Damage Crash,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Prince William County,,Urban,38.63675,-77.28956,Interstate,I-95N,95.0,I-95,157.38,Interstate,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c8928917,0,0,1,Minor
2,2023-12-29,20:41:00,Friday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Lighted,"Two-Way, Divided, Positive Median Barrier",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Two Approaches,Not Provided,Stop Sign,Dry,Intersection Area,Within Intersection,Yes - Working,No,2023,Winter,December,Nighttime,6:00pm - 8:59pm,20,Property Damage Crash,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Multiple Vehicle Crashes,Prince William County,,Urban,38.57371,-77.30365,Non-Interstate,SC-1140N (PRINCE WILLIAM COUNTY),1140.0,WAYSIDE DR,0.69,Minor Collector,At Intersection,RIVER RIDGE BLVD,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c7278972,0,0,1,Minor
2,2023-10-14,08:29:00,Saturday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Positive Median Barrier",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Three Approaches,Not Provided,Traffic Signal,Dry,Intersection Area,Intersection Related - Within 150 Feet,Yes - Working,No,2023,Autumn,October,Daytime,6:00am - 8:59am,8,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Newport News City,,Urban,37.01896,-76.45105,Non-Interstate,US-60W,60.0,WARWICK BLVD,264.23,Other Principal Arterial,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c4248896,0,0,1,Minor
2,2022-06-15,08:50:00,Wednesday,Rear End,On Roadway,Brick or Block,No Defects,Daylight,Daylight,"Two-Way, Divided, Positive Median Barrier",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Signal,Dry,Interchange Area,Main-Line Roadway,Yes - Working,No,2022,Summer,June,Daytime,6:00am - 8:59am,8,Injury Crash,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Alexandria City,,Urban,38.80377,-77.07283,Non-Interstate,STOVALL ST (PR - CITY OF ALEXANDRIA),,STOVALL ST,0.15,Major Collector,At Intersection,MILL RD,No,0,0,No,0,0,0,0,0,0,0,0,0,0,1,c2383027,0,0,1,Minor
